run,algo,seed,last_step,last_eval_mean,last_eval_std,n_final_eval_runs,final_eval_mean_avg
2026-05-21_161234_a2c_seed7,a2c,7,2000000.0,0.8,0.4,1,79.84
2026-05-26_202552_a2c_seed77,a2c,77,2000000.0,132.0,107.0,1,113.08
2026-05-26_204338_a2c_seed777,a2c,777,2000000.0,165.5,143.5,1,123.11
2026-05-26_165748_a2c_gae_0.95_seed7,a2c[gae_0.95],7,2000000.0,60.0,0.0,1,40.69
2026-05-26_215756_a2c_gae_0.95_seed77,a2c[gae_0.95],77,2000000.0,183.5,96.5,1,185.58
2026-05-27_115826_a2c_gae_0.95_seed777,a2c[gae_0.95],777,2000000.0,86.0,84.0,1,136.95
2026-05-26_171637_a2c_lr_2.5e-4_seed7,a2c[lr_2.5e-4],7,2000000.0,41.0,0.0,1,54.99
2026-05-26_221643_a2c_lr_2.5e-4_seed77,a2c[lr_2.5e-4],77,2000000.0,2.0,0.0,1,50.66
2026-05-27_121719_a2c_lr_2.5e-4_seed777,a2c[lr_2.5e-4],777,2000000.0,39.5,11.5,1,50.66
2026-05-26_173442_a2c_nstep16_gae095_seed7,a2c[nstep16_gae095],7,2000000.0,43.0,0.0,1,54.37
2026-05-26_223445_a2c_nstep16_gae095_seed77,a2c[nstep16_gae095],77,2000000.0,122.5,44.5,1,167.28
2026-05-27_123519_a2c_nstep16_gae095_seed777,a2c[nstep16_gae095],777,2000000.0,40.5,11.5,1,52.71
2026-05-26_175212_a2c_nstep_16_seed7,a2c[nstep_16],7,2000000.0,93.0,0.0,1,100.29
2026-05-26_225117_a2c_nstep_16_seed77,a2c[nstep_16],77,2000000.0,39.0,27.0,1,29.51
2026-05-27_125233_a2c_nstep_16_seed777,a2c[nstep_16],777,2000000.0,8.5,2.5,1,12.74
2026-05-18_124854_dqn_baseline_seed7,dqn,7,2000000.0,2.8,1.469693845669907,1,22.92
2026-05-18_211702_dqn_baseline_seed77,dqn,77,2000000.0,5.2,0.39999999999999997,1,30.47
2026-05-26_200814_dqn_baseline_seed777,dqn,777,2000000.0,3.5,0.5,1,5.86
2026-05-26_180842_dqn_buffer_100k_seed7,dqn[buffer_100k],7,2000000.0,2.0,0.0,1,2.11
2026-05-27_104833_dqn_buffer_100k_seed77,dqn[buffer_100k],77,2000000.0,23.5,7.5,1,21.75
2026-05-27_130947_dqn_buffer_100k_seed777,dqn[buffer_100k],777,2000000.0,2.5,0.5,1,3.22
2026-05-27_110523_dqn_buffer_300k_seed77,dqn[buffer_300k],77,2000000.0,63.0,7.0,1,39.84
2026-05-27_132732_dqn_buffer_300k_seed777,dqn[buffer_300k],777,2000000.0,3.0,1.0,1,2.15
2026-05-18_163641_ppo_seed7,ppo,7,2000000.0,61.2,21.921678767831626,1,75.23
2026-05-26_210215_ppo_seed77,ppo,77,2000000.0,21.0,12.0,1,23.59
2026-05-26_211956_ppo_seed777,ppo,777,2000000.0,23.0,15.0,1,22.9
2026-05-28_182121_ppo_clip_0.05_seed7,ppo[clip_0.05],7,2000000.0,60.0,0.0,1,56.34
2026-05-26_184230_ppo_clip_0.2_seed7,ppo[clip_0.2],7,2000000.0,17.0,0.0,1,12.91
2026-05-27_112234_ppo_clip_0.2_seed77,ppo[clip_0.2],77,2000000.0,31.5,4.5,1,19.51
2026-05-27_134537_ppo_clip_0.2_seed777,ppo[clip_0.2],777,2000000.0,15.5,3.5,1,18.32
2026-05-26_190023_ppo_clip_0.3_seed7,ppo[clip_0.3],7,2000000.0,57.0,0.0,1,34.66
2026-05-27_114026_ppo_clip_0.3_seed77,ppo[clip_0.3],77,2000000.0,27.5,1.5,1,29.94
2026-05-27_140348_ppo_clip_0.3_seed777,ppo[clip_0.3],777,2000000.0,40.5,18.5,1,44.18
2026-05-28_183958_ppo_ent_0.05_seed7,ppo[ent_0.05],7,2000000.0,17.0,0.0,1,16.74
2026-05-28_190034_ppo_lr_1e-4_seed7,ppo[lr_1e-4],7,,,,0,
2026-05-28_190035_ppo_ne_10_seed7,ppo[ne_10],7,2000000.0,25.0,0.0,1,16.87
