run,algo,seed,last_step,last_eval_mean,last_eval_std,n_final_eval_runs,final_eval_mean_avg
2026-06-03_104952_a2c_adam_seed7,a2c[adam],7,10000000.0,208.66666666666666,143.3069743204736,1,305.84
2026-06-03_125952_a2c_normadv_seed7,a2c[normadv],7,10000000.0,5.0,1.4142135623730951,1,10.54
2026-06-03_144831_a2c_vf_0.5_seed7,a2c[vf_0.5],7,10000000.0,376.3333333333333,16.49915822768611,1,356.5
2026-06-03_172911_dqn_buffer_100k_seed7,dqn[buffer_100k],7,10000000.0,5.666666666666667,1.8856180831641267,1,47.0
2026-06-03_190634_dqn_buffer_300k_seed7,dqn[buffer_300k],7,10000000.0,11.0,1.4142135623730951,1,8.7
2026-06-03_212053_dqn_expl_frac_0.05_seed0,dqn[expl_frac_0.05],0,10000000.0,4.666666666666667,2.357022603955158,1,106.63
2026-06-03_211115_dqn_expl_frac_0.05_seed7,dqn[expl_frac_0.05],7,,,,0,
2026-06-03_171314_dqn_expl_frac_0.2_seed7,dqn[expl_frac_0.2],7,,,,0,
2026-06-03_171335_dqn_expl_frac_0.2_seed7,dqn[expl_frac_0.2],7,,,,0,
2026-06-03_230739_dqn_fs_1_seed0,dqn[fs_1],0,10000000.0,3.6666666666666665,1.247219128924647,1,9.11
2026-06-04_100403_dqn_fs_1_seed7,dqn[fs_1],7,10000000.0,5.333333333333333,0.4714045207910317,1,4.66
2026-06-04_134748_dqn_fs_6_seed7,dqn[fs_6],7,10000000.0,81.66666666666667,51.383092766222454,1,45.6
2026-06-04_211322_dqn_lr_1.5e-4_seed7,dqn[lr_1.5e-4],7,10000000.0,9.0,5.656854249492381,1,191.17
2026-06-04_155106_dqn_lr_2.5e-4_seed7,dqn[lr_2.5e-4],7,,,,0,
2026-06-04_230612_dqn_target_10000_seed7,dqn[target_10000],7,,,,0,
2026-06-06_121647_dqn_target_10000_seed7,dqn[target_10000],7,,,,0,
2026-06-05_101834_dqn_target_5000_seed7,dqn[target_5000],7,10000000.0,15.333333333333334,6.599663291074444,1,163.3
2026-06-05_121216_ppo_clip_0.05_seed7,ppo[clip_0.05],7,10000000.0,317.0,53.74011537017761,1,270.55
2026-06-05_142408_ppo_clip_0.2_seed7,ppo[clip_0.2],7,10000000.0,134.0,178.19090885900997,1,263.76
2026-06-05_162356_ppo_clip_0.3_seed7,ppo[clip_0.3],7,10000000.0,364.0,2.8284271247461903,1,361.71
2026-06-05_203518_ppo_ent_0.05_seed7,ppo[ent_0.05],7,10000000.0,138.33333333333334,141.89276075810054,1,346.14
2026-06-05_182628_ppo_ent_0.0_seed7,ppo[ent_0.0],7,10000000.0,101.33333333333333,122.09377088487722,1,272.94
2026-06-05_222901_ppo_gae_0.9_seed7,ppo[gae_0.9],7,10000000.0,311.6666666666667,156.0348963818315,1,331.21
2026-06-06_003834_ppo_gae_1.0_seed7,ppo[gae_1.0],7,10000000.0,39.666666666666664,0.9428090415820634,1,48.99
2026-06-06_024108_ppo_gamma_0.995_seed7,ppo[gamma_0.995],7,10000000.0,155.66666666666666,12.256517540566826,1,231.55
2026-06-06_045151_ppo_lr_1e-4_seed7,ppo[lr_1e-4],7,10000000.0,219.33333333333334,41.48359782961079,1,245.54
2026-06-06_070318_ppo_ne_10_seed7,ppo[ne_10],7,10000000.0,5.666666666666667,0.4714045207910317,1,61.65
